cell_id_source,cell_id_target
aajlahdg-1,cijkomge-1
aajleakd-1,cijmgmee-1
aajlhhnb-1,aalalhbk-1
aajlhhnb-1,cijlpdpe-1
aajljoam-1,cijligmo-1
aajmmagb-1,cijkphba-1
aajmpiom-1,ciglcbjg-1
aajmpiom-1,cikecmgn-1
aajnlnkb-1,cikeeffa-1
aajnocfo-1,aaldofgm-1
aajocbml-1,aalejcmh-1
aajocbml-1,cigoakad-1
aajocbml-1,cikdijdb-1
aajomkoa-1,ciglfhhi-1
aajomkoa-1,ciglfmbc-1
aajpajec-1,cigllfoj-1
aajpajec-1,ciglmblk-1
aajpcdne-1,cigocngl-1
aajpcdne-1,ciidaiei-1
aakamhbl-1,cignmdoa-1
aakamhbl-1,cigoakfk-1
aakbldao-1,aalcpkap-1
aakcnban-1,aaldcbmi-1
aakcnban-1,cigopfkl-1
aakcpcnf-1,cigphkba-1
aakdafod-1,cigpkbdj-1
aakdjahc-1,ciglenag-1
aakdkbif-1,cigmicln-1
aakedeng-1,ciglgfeg-1
aakedeng-1,ciglkgel-1
aakedeng-1,ciidgpgp-1
aakejibl-1,ciglndkn-1
aakejibl-1,cignaceg-1
aakfbfca-1,cigmmgai-1
aakghlca-1,cigleifn-1
aakgkaoe-1,cijhjgjg-1
aakgkaoe-1,cijhonnl-1
aakhcjpe-1,cijifmgm-1
aakhcjpe-1,cijilnno-1
aakhjdhh-1,cijhfhbp-1
aakhmhaj-1,aaldmmnf-1
aakhmkae-1,aaldmbpc-1
aakhpaki-1,cijhmada-1
aakiakkl-1,cijhcjlk-1
aakibkhd-1,cijifcgh-1
aakidmpo-1,cijhnnil-1
aakieock-1,aalaccfc-1
aakignol-1,cijkobmc-1
aakikdci-1,aakpikco-1
aakikdci-1,aalabkgo-1
aakimmoj-1,aalajjae-1
aakinknj-1,cijfcnai-1
aakinknj-1,cijfnaeo-1
aakkaakk-1,cihdlhjc-1
aakkdkij-1,cihdlmjn-1
aakkdkij-1,cihdnglk-1
aakkdnfh-1,cihdpinc-1
aakkhaej-1,cijdabda-1
aakkhaej-1,cijgbhjo-1
aakkmjgi-1,cijfphoi-1
aakkmjgi-1,cijhfcaa-1
aakkmjgi-1,cijhfepa-1
aaklmljf-1,cigpljjj-1
aaklmljf-1,cijcccfl-1
aaklnoke-1,cijcimgn-1
aakmbgni-1,cijdchpb-1
aakmibnc-1,cijkkecn-1
aaknbbmp-1,cijffdkk-1
aaknbjka-1,aakpfhoo-1
aaknpolo-1,aakonmek-1
aakoajfk-1,cijkmehi-1
aakoeeao-1,aalbhdkg-1
aakofond-1,cijioeld-1
aakogdei-1,cijjcndi-1
aakogdei-1,cmbgfllf-1
aakoiaaj-1,aalgkdlo-1
aakoklgc-1,cijemfgd-1
aakolkpk-1,cigicjln-1
aakomjip-1,cijoahng-1
aakomjip-1,cmbggkld-1
aakpcgoa-1,cmcchcdh-1
aakpckgf-1,cigkmbnj-1
aakpdfmb-1,cigkfcag-1
aakpdfmb-1,cigkhcbi-1
aakpjcpc-1,cihebmoj-1
aakpjcpc-1,cihfkgep-1
aalanigb-1,cigepeam-1
aalaodpn-1,cijjbkkm-1
aalbjajp-1,cigplojf-1
aalbjajp-1,cihfklil-1
aalbmphp-1,ciggcana-1
aalcihdg-1,cmbomlao-1
aalcihdg-1,cmcekjoo-1
aalclomj-1,ciggjnpg-1
aalddeeg-1,cmbonnjm-1
aalddeeg-1,cmbooigg-1
aaldgnfp-1,coopckfg-1
aaldmllj-1,cijmijgg-1
aaldmllj-1,cijmoima-1
aaldngml-1,coookemk-1
aaldpbeo-1,cijnedgl-1
aaldpbeo-1,cijockho-1
aaldppkb-1,cijipago-1
aalebkdn-1,cijnmobp-1
aalecloo-1,cmbfnmjd-1
aaleeagf-1,cigigdll-1
aaleeagf-1,cijeendm-1
aaleeagf-1,cijefnno-1
aaleeagf-1,cijegban-1
aalegppi-1,cihabdcc-1
aalegppi-1,cihagead-1
aalegppi-1,cihbdpnj-1
aalegppi-1,cihbegif-1
aalegppi-1,cijipnae-1
aalfecka-1,cijenhib-1
aalfecka-1,cijepeld-1
aalfecka-1,cijfkijl-1
aalfhajh-1,cihaoeng-1
aalfhajh-1,cijccbld-1
aalfhajh-1,cijcfhga-1
aalfkcmm-1,cijkdfia-1
aalfkcmm-1,cmbgphib-1
aalgbbhp-1,cmbnnija-1
aalgbbhp-1,cmcdfibn-1
aalggjoo-1,cmbgjphp-1
aalggjoo-1,cmbglije-1
aalhdobc-1,aalejknm-1
aalhdobc-1,ciiohmng-1
aalhdobc-1,ciiojhga-1
